## SUUMO検索結果 - fukuoka
## 条件: 5000万以下, 40-70㎡
## 取得日: 2026-07-28
## 件数: 466件

SUUMO|エクセレンス谷|2390万円|福岡県福岡市中央区谷１|57.23㎡|1979年8月|地下鉄七隈線「六本松」徒歩7分|2LDK|||管理費6300+修繕13740|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20293908/
SUUMO|エクセレンス谷|2390万円|福岡県福岡市中央区谷１-16.58|57.23㎡|1979年8月|地下鉄七隈線「六本松」徒歩7分|2LDK|||管理費6300+修繕13740|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21054711/
SUUMO|ゾンネンハイム大手門|2467万円|福岡県福岡市中央区大手門２|66.0㎡|1973年8月|地下鉄空港線「大濠公園」徒歩7分|1LDK|||管理費8500+修繕10900|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20217576/
SUUMO|ゾンネンハイム大手門　中古マンション|2467万円|福岡県福岡市中央区大手門２|66.0㎡|1973年8月|地下鉄空港線「大濠公園」徒歩8分|1LDK|||管理費8500+修繕10900|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21277485/
SUUMO|グリーンマンション薬院|2480万円|福岡県福岡市中央区薬院２|47.0㎡|1986年8月|地下鉄七隈線「薬院大通」徒歩6分|1LDK|||管理費9300+修繕9000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21285879/
SUUMO|ユーハイム大濠西　中古マンション|2585万円|福岡県福岡市中央区黒門|48.09㎡|1985年8月|地下鉄空港線「唐人町」徒歩2分|1DK|||管理費16100+修繕16100|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21301609/
SUUMO|エクセレンス谷|2590万円|福岡県福岡市中央区谷１-16-58|57.23㎡|1979年8月|地下鉄七隈線「六本松」徒歩7分|2LDK|||管理費6300+修繕13740|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_79071316/
SUUMO|東峰マンション西公園|2680万円|福岡県福岡市中央区荒戸３|48.59㎡|1978年9月|地下鉄空港線「大濠公園」徒歩5分|2LDK|||管理費8970+修繕9132|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20689080/
SUUMO|東峰マンション西公園【担当：中尾】　までお気軽にお問…|2680万円|福岡県福岡市中央区荒戸３|48.59㎡|1978年9月|地下鉄空港線「大濠公園」徒歩7分|2LDK|||管理費8970+修繕9132|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20868602/
SUUMO|東峰マンション西公園|2680万円|福岡県福岡市中央区荒戸３-2-5|48.59㎡|1978年9月|地下鉄空港線「大濠公園」徒歩4分|2LDK|||管理費8970+修繕9132|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21254223/
SUUMO|サンポートハイツ304号室|2690万円|福岡県福岡市中央区港２|60.69㎡|1974年9月|地下鉄空港線「大濠公園」徒歩8分|2LDK|||管理費14900+修繕7000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20812912/
SUUMO|サンポートハイツ|2690万円|福岡県福岡市中央区港２|60.69㎡|1974年9月|地下鉄空港線「大濠公園」徒歩7分|2LDK|||管理費14900+修繕7000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21273339/
SUUMO|サンポートハイツ|2690万円|福岡県福岡市中央区港２-5-32|60.69㎡|1974年9月|地下鉄空港線「大濠公園」徒歩8分|2LDK|||管理費14900+修繕7000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21317556/
SUUMO|サンポートハイツ|2690万円|福岡県福岡市中央区港２|60.69㎡|1974年9月|地下鉄空港線「大濠公園」徒歩7分|2LDK|||管理費14900+修繕7000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21277952/
SUUMO|サンポートハイツ　中古マンション|2690万円|福岡県福岡市中央区港２|60.69㎡|1974年9月|地下鉄空港線「大濠公園」徒歩8分|2LDK|||管理費14900+修繕7000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21263257/
SUUMO|朝日プラザ桜坂　中古マンション|2780万円|福岡県福岡市中央区谷１|62.34㎡|1986年8月|地下鉄七隈線「桜坂」徒歩6分|3LDK|||管理費11100+修繕18300|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20332513/
SUUMO|シティマンション高砂|2799万円|福岡県福岡市中央区高砂２|50.22㎡|1984年9月|西鉄天神大牟田線「西鉄平尾」徒歩9分|2LDK|||管理費10040+修繕10000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20743059/
SUUMO|ニューライフ平尾　中古マンション|2933万円|福岡県福岡市中央区平尾１|66.57㎡|1981年9月|西鉄天神大牟田線「薬院」徒歩7分|3LDK|相談可||管理費8380+修繕11830|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21297189/
SUUMO|ライオンズマンション大名　中古マンション|2947万円|福岡県福岡市中央区大名１|56.72㎡|1982年8月|地下鉄空港線「赤坂」徒歩10分|3DK|||管理費9020+修繕11910|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21280772/
SUUMO|ダイアパレス平尾２|2950万円|福岡県福岡市中央区大宮２|64.1㎡|1983年3月|西鉄天神大牟田線「西鉄平尾」徒歩4分|2LDK|||管理費11700+修繕8330|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20359832/
SUUMO|東カングランドマンション大濠パークサイド|2980万円|福岡県福岡市中央区鳥飼１|55.0㎡|1974年8月|地下鉄七隈線「六本松」徒歩12分|2LDK|相談可||管理費8100+修繕12000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21122262/
SUUMO|東カングランドマンション大濠パークサイド|2980万円|福岡県福岡市中央区鳥飼１-4-58|55.0㎡|1974年8月|地下鉄空港線「唐人町」徒歩12分|2LDK|相談可||管理費8100+修繕12000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21305600/
SUUMO|東カングランドマンション大濠パークサイド|2980万円|福岡県福岡市中央区鳥飼１-4-58|55.0㎡|1974年8月|地下鉄七隈線「六本松」徒歩12分|2LDK|相談可||管理費8100+修繕12000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21107659/
SUUMO|警固ハウス【担当：中尾】までお気軽にお問合せください…|2999万円|福岡県福岡市中央区警固１|66.0㎡|1980年3月|地下鉄七隈線「薬院大通」徒歩9分|2LDK|||管理費10620+修繕15000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21105417/
SUUMO|ロマネスク大濠アネックス|2999万円|福岡県福岡市中央区鳥飼２|59.65㎡|1987年5月|地下鉄空港線「唐人町」徒歩14分|2LDK|||管理費9500+修繕19300|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21111840/
SUUMO|【秀和警固レジデンス】天神を日常にする好立地。青い屋…|3080万円|福岡県福岡市中央区警固２|69.43㎡|1974年7月|地下鉄空港線「赤坂」徒歩8分|2LDK|||管理費10640+修繕12658|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20120211/
SUUMO|警固ハウス|3190万円|福岡県福岡市中央区警固１|66.0㎡|1980年3月|地下鉄七隈線「薬院大通」徒歩11分|3LDK|||管理費10620+修繕15000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21285511/
SUUMO|警固ハウス|3190万円|福岡県福岡市中央区警固１|66.0㎡|1980年2月|地下鉄七隈線「薬院大通」徒歩9分|3LDK|||管理費10620+修繕15000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20995706/
SUUMO|警固ハウス　中古マンション|3190万円|福岡県福岡市中央区警固１|66.0㎡|1980年3月|地下鉄七隈線「薬院大通」徒歩9分|3LDK|||管理費10620+修繕15000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21005838/
SUUMO|警固ハウス|3190万円|福岡県福岡市中央区警固１|66.0㎡|1980年3月|地下鉄七隈線「薬院大通」徒歩9分|3LDK|||管理費10620+修繕15000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20802447/
SUUMO|警固ハウス|3190万円|福岡県福岡市中央区警固１-15-15|66.0㎡|1980年3月|地下鉄七隈線「薬院大通」徒歩8分|3LDK|||管理費10620+修繕15000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21130902/
SUUMO|警固ハウス|3190万円|福岡県福岡市中央区警固１|66.0㎡|1980年3月|地下鉄七隈線「薬院大通」徒歩8分|3LDK|||管理費10620+修繕15000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20800032/
SUUMO|警固ハウス|3190万円|福岡県福岡市中央区警固１|66.0㎡|1980年3月|地下鉄七隈線「薬院大通」徒歩9分|3LDK|||管理費10620+修繕15000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20911506/
SUUMO|ライオンズマンション舞鶴第2|3280万円|福岡県福岡市中央区舞鶴３|52.72㎡|1982年9月|地下鉄空港線「赤坂」徒歩6分|2DK+S（納戸）|相談可||管理費8200+修繕12700|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20591721/
SUUMO|藤和コープソシエ大名|3490万円|福岡県福岡市中央区大名１|67.0㎡|1979年11月|西鉄天神大牟田線「西鉄福岡（天神）」徒歩7分|2LDK|||管理費8430+修繕11160|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20919736/
SUUMO|シャンボール大名A棟|3490万円|福岡県福岡市中央区大名２|61.08㎡|1981年12月|地下鉄空港線「赤坂」徒歩4分|3DK|||管理費13400+修繕18320|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20384520/
SUUMO|ロマネスク桜坂第2|3499万円|福岡県福岡市中央区桜坂１|42.25㎡|1992年6月|地下鉄七隈線「桜坂」徒歩3分|1LDK|||管理費11830+修繕10200|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21359975/
SUUMO|朝日プラザ大濠|3580万円|福岡県福岡市中央区草香江２|69.12㎡|1983年3月|地下鉄七隈線「六本松」徒歩4分|3LDK|||管理費9470+修繕15400|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20449512/
SUUMO|ロマネスク西公園第6|3790万円|福岡県福岡市中央区荒戸２-4-37|52.24㎡|1991年2月|地下鉄空港線「大濠公園」徒歩7分|2LDK|||管理費7600+修繕14000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21378954/
SUUMO|サンライフ六本松|3880万円|福岡県福岡市中央区草香江２|60.02㎡|1984年5月|地下鉄七隈線「六本松」徒歩3分|2LDK|||管理費7490+修繕13440|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20846488/
SUUMO|ライオンズマンション警固南|3990万円|福岡県福岡市中央区薬院２|67.43㎡|1983年7月|地下鉄七隈線「薬院大通」徒歩6分|2LDK|||管理費13500+修繕14830|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21045538/
SUUMO|リファレンス天神南|4199万円|福岡県福岡市中央区清川２|65.32㎡|2002年3月|西鉄天神大牟田線「西鉄平尾」徒歩14分|3LDK|||管理費9130+修繕12000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20232459/
SUUMO|リファレンス天神南|4199万円|福岡県福岡市中央区清川２|65.32㎡|2002年3月|地下鉄七隈線「渡辺通」徒歩13分|3LDK|相談可||管理費9130+修繕12000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20713112/
SUUMO|リファレンス天神南|4199万円|福岡県福岡市中央区清川２|65.32㎡|2002年3月|地下鉄七隈線「渡辺通」徒歩13分|3LDK|||管理費9130+修繕12000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20401158/
SUUMO|リファレンス天神南|4199万円|福岡県福岡市中央区清川２|65.32㎡|2002年3月|地下鉄七隈線「渡辺通」徒歩12分|3LDK|相談可||管理費9130+修繕12000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20589194/
SUUMO|リファレンス天神南|4199万円|福岡県福岡市中央区清川２|65.32㎡|2002年3月|地下鉄七隈線「渡辺通」徒歩14分|3LDK|相談可||管理費9130+修繕12000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21351500/
SUUMO|リファレンス天神南|4299万円|福岡県福岡市中央区清川２|65.32㎡|2002年3月|西鉄天神大牟田線「西鉄平尾」徒歩14分|3LDK|相談可||管理費9130+修繕12000|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20056310/
SUUMO|朝日プラザ天神|4499万円|福岡県福岡市中央区舞鶴１-9-3|55.5㎡|1986年5月|地下鉄空港線「天神」徒歩4分|3DK|||管理費7220+修繕7660|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20822755/
SUUMO|コモダス天神|4799万円|福岡県福岡市中央区今泉２|66.78㎡|1997年5月|地下鉄七隈線「薬院大通」徒歩8分|3LDK|相談可||管理費5700+修繕8681|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20204209/
SUUMO|エステートマンション大濠グランディール|4880万円|福岡県福岡市中央区今川２|68.37㎡|1991年3月|地下鉄空港線「西新」徒歩9分|3LDK|||管理費10800+修繕19140|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21246756/
SUUMO|エステートマンション大濠グランディール|4880万円|福岡県福岡市中央区今川２-7-52|68.37㎡|1991年3月|地下鉄空港線「唐人町」徒歩8分|3LDK|||管理費10800+修繕19140|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21216421/
SUUMO|アダージュ薬院弐番館|4890万円|福岡県福岡市中央区薬院２|65.11㎡|2003年3月|地下鉄七隈線「薬院大通」徒歩3分|2LDK|||管理費6130+修繕16600|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20272288/
SUUMO|藤和シティコープ平尾駅前|4990万円|福岡県福岡市中央区那の川２|66.82㎡|1996年3月|西鉄天神大牟田線「西鉄平尾」徒歩2分|3LDK|||管理費9500+修繕24590|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21354780/
SUUMO|シティマンション輝国一号館|900万円|福岡県福岡市中央区輝国２|58.63㎡|1984年3月|地下鉄七隈線「桜坂」バス7分停歩8分|3LDK|||管理費5750+修繕5400|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_20739375/
SUUMO|グリーンハイツ輝国|1280万円|福岡県福岡市中央区輝国２|62.04㎡|1980年5月|地下鉄七隈線「六本松」徒歩14分|2DK|||管理費6200+修繕10130|https://suumo.jp/ms/chuko/fukuoka/sc_fukuokashichuo/nc_21208962/
